Nome;Código;codigo
magazine luiza;MGLU3;mglu3
hapvida;HAPV3;hapv3
petrobras;PETR4;petr4
banco bradesco;BBDC4;bbdc4
cvc;CVCB3;cvcb3
cielo;CIEL3;ciel3
b3;B3SA3;b3sa3
brf;BRFS3;brfs3
americanas;AMER3;amer3
itaúsa;ITSA4;itsa4
lojas renner;LREN3;lren3
hidrovias do brasil;HBSA3;hbsa3
grupo soma;SOMA3;soma3
azul;AZUL4;azul4
itaú unibanco;ITUB4;itub4
raízen;RAIZ4;raiz4
ambev;ABEV3;abev3
gol;GOLL4;goll4
vale;VALE3;vale3
petz;PETZ3;petz3
carrefour brasil;CRFB3;crfb3
cogna;COGN3;cogn3
tim;TIMS3;tims3
assaí;ASAI3;asai3
jbs;JBSS3;jbss3
copel;CPLE6;cple6
grupo pão de açúcar;PCAR3;pcar3
petrorio;PRIO3;prio3
rede d'or;RDOR3;rdor3
usiminas;USIM5;usim5
rumo;RAIL3;rail3
petrobras;PETR3;petr3
recrusul;RCSL3;rcsl3
marfrig;MRFG3;mrfg3
alpargatas;ALPA4;alpa4
intelbras;INTB3;intb3
minerva;BEEF3;beef3
infracommerce;IFCM3;ifcm3
natura;NTCO3;ntco3
mrv;MRVE3;mrve3
cemig;CMIG4;cmig4
banco do brasil;BBAS3;bbas3
cyrela;CYRE3;cyre3
construtora tenda;TEND3;tend3
metalúrgica gerdau;GOAU4;goau4
grupo vamos;VAMO3;vamo3
marcopolo;POMO4;pomo4
siderúrgica nacional;CSNA3;csna3
csn mineração;CMIN3;cmin3
ultrapar;UGPA3;ugpa3
grupo mateus;GMAT3;gmat3
eneva;ENEV3;enev3
ânima educação;ANIM3;anim3
aliansce sonae;ALSO3;also3
vibra energia;VBBR3;vbbr3
gerdau;GGBR4;ggbr4
grupo ccr;CCRO3;ccro3
equatorial energia;EQTL3;eqtl3
yduqs;YDUQ3;yduq3
santos brasil;STBP3;stbp3
weg;WEGE3;wege3
cosan;CSAN3;csan3
copel;CPLE3;cple3
ecorodovias;ECOR3;ecor3
banco bradesco;BBDC3;bbdc3
multiplan;MULT3;mult3
lojas marisa;AMAR3;amar3
bb seguridade;BBSE3;bbse3
cba;CBAV3;cbav3
qualicorp;QUAL3;qual3
3r petroleum;RRRP3;rrrp3
banco pan;BPAN4;bpan4
oi;OIBR3;oibr3
sequoia logística;SEQL3;seql3
aeris energy;AERI3;aeri3
localiza;RENT3;rent3
irb brasil re;IRBR3;irbr3
locaweb;LWSA3;lwsa3
lojas quero-quero;LJQQ3;ljqq3
jhsf;JHSF3;jhsf3
movida;MOVI3;movi3
eletrobras;ELET3;elet3
suzano;SUZB3;suzb3
embraer;EMBR3;embr3
transmissão paulista;TRPL4;trpl4
simpar;SIMH3;simh3
vtrm energia participaãies s.a.;AURE3;aure3
sabesp;SBSP3;sbsp3
enauta;ENAT3;enat3
raiadrogasil;RADL3;radl3
cury;CURY3;cury3
dexco;DXCO3;dxco3
oncoclínicas;ONCO3;onco3
camil alimentos;CAML3;caml3
recrusul;RCSL4;rcsl4
caixa seguridade;CXSE3;cxse3
vivo;VIVT3;vivt3
c&a;CEAB3;ceab3
hypera;HYPE3;hype3
getninjas;NINJ3;ninj3
totvs;TOTS3;tots3
méliuz;CASH3;cash3
petrorecôncavo;RECV3;recv3
direcional;DIRR3;dirr3
multilaser;MLAS3;mlas3
braskem;BRKM5;brkm5
azevedo & travassos;AZEV4;azev4
eztec;EZTC3;eztc3
ser educacional;SEER3;seer3
copasa;CSMG3;csmg3
jalles machado;JALL3;jall3
3tentos;TTEN3;tten3
guararapes;GUAR3;guar3
grupo sbf;SBFG3;sbfg3
positivo;POSI3;posi3
zamp;ZAMP3;zamp3
mitre realty;MTRE3;mtre3
randon;RAPT4;rapt4
bradespar;BRAP4;brap4
cpfl energia;CPFE3;cpfe3
imc alimentação;MEAL3;meal3
gafisa;GFSA3;gfsa3
fleury;FLRY3;flry3
aes brasil;AESB3;aesb3
sanepar;SAPR4;sapr4
iochpe-maxion;MYPK3;mypk3
portobello;PTBL3;ptbl3
klabin;KLBN4;klbn4
smart fit;SMFT3;smft3
vivara;VIVA3;viva3
brasilagro;AGRO3;agro3
neoenergia;NEOE3;neoe3
são martinho;SMTO3;smto3
plano&plano;PLPL3;plpl3
mills;MILS3;mils3
banrisul;BRSR6;brsr6
slc agrícola;SLCE3;slce3
arezzo;ARZZ3;arzz3
engie;EGIE3;egie3
gps;GGPS3;ggps3
eletrobras;ELET6;elet6
azevedo & travassos;AZEV3;azev3
pague menos;PGMN3;pgmn3
espaçolaser;ESPA3;espa3
grendene;GRND3;grnd3
trisul;TRIS3;tris3
mobly;MBLY3;mbly3
armac;ARML3;arml3
porto seguro;PSSA3;pssa3
neogrid;NGRD3;ngrd3
kora saúde;KRSA3;krsa3
enjoei;ENJU3;enju3
vulcabras;VULC3;vulc3
viveo;VVEO3;vveo3
itaú unibanco;ITUB3;itub3
mahle metal leve;LEVE3;leve3
kepler weber;KEPL3;kepl3
omega energia s.a.;MEGA3;mega3
lavvi incorporadora;LAVV3;lavv3
sinqia;SQIA3;sqia3
viver;VIVR3;vivr3
m. dias branco;MDIA3;mdia3
wiz soluções;WIZC3;wizc3
irani;RANI3;rani3
light;LIGT3;ligt3
tupy;TUPY3;tupy3
even;EVEN3;even3
schulz;SHUL4;shul4
odontoprev;ODPV3;odpv3
ambipar;AMBP3;ambp3
moura dubeux;MDNE3;mdne3
oceanpact;OPCT3;opct3
banco bmg;BMGB4;bmgb4
lupatech;LUPA3;lupa3
taesa;TAEE4;taee4
banco abc brasil;ABCB4;abcb4
traders club;TRAD3;trad3
wilson sons;PORT3;port3
eternit;ETER3;eter3
dasa;DASA3;dasa3
bemobi;BMOB3;bmob3
indústrias romi;ROMI3;romi3
taurus;TASA4;tasa4
fras-le;FRAS3;fras3
priner;PRNR3;prnr3
blau farmacêutica;BLAU3;blau3
boa safra sementes;SOJA3;soja3
cemig;CMIG3;cmig3
klabin;KLBN3;klbn3
mater dei;MATD3;matd3
marcopolo;POMO3;pomo3
banco santander;SANB4;sanb4
itaúsa;ITSA3;itsa3
renova energia;RNEW4;rnew4
orizon;ORVR3;orvr3
taesa;TAEE3;taee3
jsl;JSLG3;jslg3
sanepar;SAPR3;sapr3
time for fun;SHOW3;show3
triunfo;TPIS3;tpis3
alliança;AALR3;aalr3
clearsale;CLSA3;clsa3
brisanet;BRIT3;brit3
hbr realty;HBRE3;hbre3
helbor;HBOR3;hbor3
valid;VLID3;vlid3
springs;SGPS3;sgps3
eletromidia;ELMD3;elmd3
syn;SYNE3;syne3
unifique;FIQE3;fiqe3
track & field;TFCO4;tfco4
pdg realty;PDGR3;pdgr3
technos;TECN3;tecn3
banco santander;SANB3;sanb3
vittia;VITT3;vitt3
ferbasa;FESA4;fesa4
renova energia;RNEW3;rnew3
log cp;LOGG3;logg3
unipar;UNIP6;unip6
profarma;PFRM3;pfrm3
dimed;PNVL3;pnvl3
lopes;LPSB3;lpsb3
cruzeiro do sul educacional;CSED3;csed3
eucatex;EUCA4;euca4
pine;PINE4;pine4
westwing;WEST3;west3
estapar;ALPK3;alpk3
desktop;DESK3;desk3
unicasa;UCAS3;ucas3
dexxos;DEXP3;dexp3
tecnisa;TCSA3;tcsa3
agrogalaxy;AGXY3;agxy3
usiminas;USIM3;usim3
melnick;MELK3;melk3
tegma;TGMA3;tgma3
gerdau;GGBR3;ggbr3
jereissati participações;IGTI3;igti3
iguatemi;IGTI3;igti3
ceb;CEBR6;cebr6
cambuci;CAMB3;camb3
atma;ATMP3;atmp3
log-in;LOGN3;logn3
oi;OIBR4;oibr4
rossi residencial;RSID3;rsid3
csu cardsystem;CSUD3;csud3
santanense;CTSA4;ctsa4
inepar;INEP4;inep4
banco mercantil do brasil;BMEB4;bmeb4
