codigo;empresa;cotacao;rent_mes;rent_3_meses;rent_1_ano;rent_2_anos;rent_5_anos;rent_10_anos;rent_real_mes;rent_real_3_meses;rent_real_1_ano;rent_real_2_anos;rent_real_5_anos;rent_real_10_anos;p/l;p/vp;divida_liquida/ebitda;divida_liquida/patrimonio;ev/ebitda;ev/ebit;p/ebitda;p/ebit;margem_ebitda;divida_liquida/ebit;divida_bruta/patrimonio;dividend_yield;payout;margem_liquida;margem_bruta;margem_ebit;roe;roic;roa;cagr_receitas_5_anos;cagr_lucros_5_anos;valor_mercado;valor_firma;patrimorio_liquido;total_papeis;divida_bruta;divida_liquida;disponibilidades;segmento_listagem;liquidez_media_diaria;setor;segmento;sobre;informacoes_complementares
AMER3;AMERICANAS S.A;R$ 0,85;-9,57%;-24,78%;-95,75%;-97,37%;-97,20%;-94,58%;-9,57%;-24,95%;-95,93%;-97,63%;-97,86%;-96,95%;17,66;0,05; 4,55 ; 0,97 ; 4,80 ; 12,80 ; 0,25 ; 0,65 ; 11,16% ; 12,14 ; 1,41 ; - ; 1.290,14% ; 0,16% ; 30,68% ; 4,18% ; 0,30% ; 1,07% ; 0,09% ; 33,96% ; -% ;R$ 767.150.000;R$ 14.989.663.000;R$ 14.705.555.000; 902.529.000;R$ 20.790.000.000;R$ 14.222.513.000;R$ 6.567.487.000;Nível 1;R$ 239.884.000; Consumo Cíclico ; Produtos Diversos ;"AAmericanas S.A -AMER3 é a controladora de um dos maiores grupos varejistas do Brasil. O Grupo inclui marcas que ao longo dos anos conquistaram o respeito e a admiração do público, além de outras com menor tempo de mercado e propostas inovadoras, dentre as quais, podemos destacar:Americanas.com: A Americanas.com é uma das maiores lojas online do Brasil com milhões de produtos disponíveis em mais de 40 categorias. Os clientes podem comprar no site ou app e receber seus produtos em casa ou retirar em uma das mais de 1.700 Lojas Americanas, espalhadas por todo o país.Lojas Americanas: Formato tradicional das Lojas Americanas, com mais de 60.000 itens e área e vendas média de 1.000m².Submarino.com: O Submarino.com é mais um dos grandes sites do e-commerce brasileiro, sua fusão com a Americanas.com aconteceu em 2006Shoptime: Especializado na demonstração de produtos ao vivo, o Shoptime está no ar 24 horas todos os dias, levando aos clientes entretenimento e demonstração de itens exclusivos e soluções práticas para facilitar as rotinas do dia a dia.Sou Barato: O Sou Barato é uma plataforma do tipo OUTLET, ou seja, uma solução especializada em saldões e liquidações de produtos na internet.Americanas Express: Loja com área de vendas com média de 400m² e até 15.000 itens à disposição dos clientes;Ame Digital: A Ame é uma fintech que funciona como carteira digital e que permite aos seus usuários pagar compras, receber e acumular cashback.Americanas Digital: A Americanas Digital é um formato de loja física com cerca de 70m² de área de vendas com foco em eletrônicos.Let's: A Let’s é a plataforma de gestão compartilhada dos ativos de logística e distribuição do Universo Americanas.+AQUI: A +AQUI é a plataforma responsável pela gestão e promoção de serviços da Americanas, incluindo seguros e cartões de crédito.HistóriaA história da Americanas S.A começou em 2006, ano em que foi aprovada e anunciada a fusão da Americanas.com e Submarino.com, resultado na criação da B2W.Após a fusão, a Americanas S.A inaugurou pontos de distribuição estratégicos, inaugurou novas marcas, dentre elas a Sou Barato e a AME Digital, realizou uma série de aumentos de capital, e incluiu suas ações na B3, por meio do ticker BTOW3.Por fim, em 2021 foram combinadas as operações da B2W (digital) e Lojas Americanas (lojas físicas) resultando na Americanas S.A, uma gigante que já nasceu com mais de R$ 40 bilhões em Gross Merchandise, 34 mil funcionários e 48 milhões de clientes ativos.Ao todo, na data da fusão, além das lojas online, a Americanas S.A contava com mais de 1.700 lojas em 765 cidades.No entanto, no dia 11 de janeiro de 2023, a AMER3 divulgou um comunicado que abalou o mercado. Na ocasião, o Grupo Americanas S.A. informou ter detectado inconsistências em lançamentos contábeis, cuja estimativa era de R$ 20 bilhões. Segundo o comunicado em questão, a inconsistência encontrada estava relacionada com lançamentos da conta de fornecedores dos exercícios anteriores.Em função disso, os recém nomeados (à época), diretor-presidente e o diretor de Relações com Investidores, renunciaram ao cargo e decidiram não permanecer na empresa.Com o fato relevante em questão, o mercado avaliou como elevado o risco da empresa entrar com pedido de recuperação judicial ou deixar de honrar compromissos, o que resultou no forte declínio das ações AMER3.Informações Complementares A empresa AMERICANAS S.A, está listada na B3 com um valor de mercado de R$ 767,15 Milhões , tendo um patrimônio de R$ 14,71 Bilhões.  A empresa está listada na Bolsa de Valores no setor de Consumo Cíclico e no segmento Produtos Diversos.  Nos últimos 12 meses a empresa teve um faturamento de R$ 27,99 Bilhões, que gerou um lucro no valor de R$ 43,44 Milhões.  Quanto aos seus principais indicadores, a empresa possui um P/L de 17,66, um P/VP de 0,05 e nos últimos 12 meses a empresa não pagou dividendos";A empresa AMERICANAS S.A, está listada na B3 com um valor de mercado de R$ 767,15 Milhões , tendo um patrimônio de R$ 14,71 Bilhões.  A empresa está listada na Bolsa de Valores no setor de Consumo Cíclico e no segmento Produtos Diversos.  Nos últimos 12 meses a empresa teve um faturamento de R$ 27,99 Bilhões, que gerou um lucro no valor de R$ 43,44 Milhões.  Quanto aos seus principais indicadores, a empresa possui um P/L de 17,66, um P/VP de 0,05 e nos últimos 12 meses a empresa não pagou dividendos
B3SA3;B3 S.A. - BRASIL, BOLSA, BALCÃO;R$ 12,03;-6,82%;-17,38%;-14,14%;6,42%;81,61%;316,72%;-6,82%;-17,57%;-17,68%;-4,17%;38,69%;134,46%;16,77;3,41; -0,43 ; -0,14 ; 10,30 ; 12,26 ; 10,74 ; 12,78 ; 61,97% ; -0,52 ; 0,56 ; 3,37% ; 56,55% ; 39,68% ; 85,59% ; 52,07% ; 20,33% ; 12,30% ; 8,85% ; 16,84% ; 14,87% ;R$ 70.002.570.000;R$ 67.168.174.000;R$ 20.540.822.000; 5.819.000.000;R$ 11.428.316.000;R$ -2.834.396.000;R$ 14.262.712.000;Nível 1;R$ 797.100.000; Financeiro ; Serviços Financeiros Diversos ;A Brasil, Bolsa e Balcão. S.A (B3), é uma empresa do ramo financeiro, responsável por ser a bolsa de valores do mercado nacional, criada como sociedade anônima de capital aberto é comercializada com o código B3SA3.Sua principal atuação é ser a responsável pela comercialização de ativos, compreendendo a bolsa de valores brasileira, atua com objetivo de proporcionar transparência e liquidez para o mercado.Vinculada as demais bolsas do país, a B3 é considerada um dos fundamentais intermediários do ramo financeiro brasileiro.No decorrer dos anos, a empresa alcançou notoriedade entre as demais bolsas de valores mundo, entrando para as dez principais bolsas no quesito mundial. E em 2019, a B3 passou de US$1 trilhão em valor de mercado, detendo mais de 300 empresas inscritas e mais de 1,5 milhão de investidores, levando a empresa a obter uma receita líquida de R$ 6,5 bilhões com um crescimento de 22,9% em comparação ao ano anterior.;A empresa B3, está listada na B3 com um valor de mercado de R$ 70,00 Bilhões , tendo um patrimônio de R$ 20,54 Bilhões.  Com um total de 2.040 funcionários, a empresa está listada na Bolsa de Valores no setor de Financeiro e no segmento Serviços Financeiros Diversos.  Nos últimos 12 meses a empresa teve um faturamento de R$ 10,52 Bilhões, que gerou um lucro no valor de R$ 4,18 Bilhões.  Quanto aos seus principais indicadores, a empresa possui um P/L de 16,77, um P/VP de 3,41 e nos últimos 12 meses o dividend yeld da B3 ficou em 3,37% .
BBDC4;Banco Bradesco;R$ 14,71;0,41%;-11,01%;-22,03%;-12,94%;-6,17%;84,86%;0,41%;-11,21%;-25,24%;-21,60%;-28,35%;4,01%;9,66;0,94; - ; - ; - ; 10,72 ; - ; 11,44 ; - ; - ; - ; 6,85% ; 63,16% ; 7,33% ; 31,88% ; 6,19% ; 9,74% ; 6,67% ; 0,87% ; 14,46% ; -0,56% ;R$ 146.685.260.000;R$ 146.685.260.000;R$ 166.454.090.000; 10.642.170.000;;;R$ 172.915.854.000;Nível 1;R$ 1.379.405.000; Financeiro ; Bancos ;O Banco Bradesco S.A., é um banco múltiplo brasileiro, formado como sociedade anônima de capital aberto. É negociado na B3 com os códigos BBDC3 e BBDC4.Sua principal atuação é oferecer produtos bancários como: contas correntes, financiamentos e operações de crédito. Fundado em março de 1943, no interior de São Paulo, por Amador Aguiar. Consolidando-se no passar dos anos como um dos líderes em seu setor.Atualmente, o Bradesco dispõe de agências bancárias em todos os Estados do Brasil, totalizando cerca de 4.478 agências, 80. 222 postos de atendimentos, 33.900 máquinas de autoatendimento (Bradesco dia e noite), 23.820 maquinas de autoatendimento (Banco 24horas) e 14 agências e subsidiarias no exterior.Os produtos ofertados pelo Banco Bradesco se diferem essencialmente em dois segmentos. Primeiro é referente aos serviços bancários convencionais, como: gerenciamento de ativos, operações de crédito e leasing. O segundo está direcionado à seguros, que engloba os planos de previdência.;A empresa Banco Bradesco, está listada na B3 com um valor de mercado de R$ 146,69 Bilhões , tendo um patrimônio de R$ 166,45 Bilhões.  Com um total de 98.323 funcionários, a empresa está listada na Bolsa de Valores no setor de Financeiro e no segmento Bancos.  Nos últimos 12 meses a empresa teve um faturamento de R$ 221,06 Bilhões, que gerou um lucro no valor de R$ 16,28 Bilhões.  Quanto aos seus principais indicadores, a empresa possui um P/L de 9,66, um P/VP de 0,94 e nos últimos 12 meses o dividend yeld da Banco Bradesco ficou em 6,85% .
BRFS3;BRF S.A;R$ 11,00;25,86%;16,03%;-23,24%;-57,45%;-43,94%;-78,40%;25,86%;15,76%;-26,40%;-61,68%;-57,19%;-87,85%;-5,40;2,02; 8,59 ; 1,74 ; 18,59 ; -118,58 ; 10,00 ; -63,76 ; 3,42% ; -54,82 ; 2,60 ; - ; - ; -6,32% ; 15,12% ; -0,54% ; -37,45% ; -1,12% ; -6,36% ; 12,42% ; -% ;R$ 18.507.205.000;R$ 34.419.162.000;R$ 9.152.646.000; 1.682.473.000;R$ 23.833.219.000;R$ 15.911.957.000;R$ 7.921.262.000;Novo Mercado;R$ 199.400.000; Consumo não Cíclico ; Carnes e Derivados ;"A Brasfoods S.A. (BRF) é uma empresa de alimentos focada na produção e venda de suínos, aves e outros alimentos processados. A empresa dispõe de alimentos congelados e alimentos frescos, contando com catálogo com mais de 30 marcas. Comercializa especialidades doces, margarina, maionese, sanduíches e ração animal.As operações da companhia estão dispostas nacional e internacionalmente (Brasil; Europa, América Latina; África; Oriente Médio e Ásia). A companhia dispõe em seu catálogo de marcas como Perdigão, Sadia, Chester, Paty, Qualy e Perdix. Constituindo assim, uma das maiores empresas no ramo de alimentos do mundo, presente em mais de 140 países.Nacionalmente, a empresa porta cerca de 20 centros de distribuição e 45 fábricas em seu total, sendo elas divididas em: 35 de processamento de carne, 3 de processamentos de massa, 3 de margarina, 3 de trituração de soja e 1 de processamento de sobremesas.Internacionalmente, conta com 27 centros de distribuição e cerca de 23 fábricas, dispostas: 9 unidades na Argentina, 5 na Turquia, 5 na Tailândia, 1 no Reino Unido, 1 da Malásia, 1 na Holanda e 1 nos Emirados Árabes Unidos.Disponibilizando no mercado a venda de aves em cortes in-natura e aves inteiras, além de produtos processados oriundos de aves, carne suína e bovina, produtos congelados e outros alimentos processados como soja, margarina e produtos à base de vegetais.Presente na bolsa de valores sob o código BRFS3, a empresa possui como seus maiores acionistas GIC Private Ltd, os fundos de pensão dos funcionários do Banco do Brasil e o fundo soberano de Singapura. Em 2019, a empresa atingiu um lucro líquido de R$ 297.4 milhões.";A empresa BRF, está listada na B3 com um valor de mercado de R$ 18,51 Bilhões , tendo um patrimônio de R$ 9,15 Bilhões.  Com um total de 85.321 funcionários, a empresa está listada na Bolsa de Valores no setor de Consumo não Cíclico e no segmento Carnes e Derivados.  Nos últimos 12 meses a empresa teve um faturamento de R$ 54,21 Bilhões, que gerou um prejuízo no valor de R$ -3,45 Bilhões.  Quanto aos seus principais indicadores, a empresa possui um P/L de -5,40, um P/VP de 2,02 e nos últimos 12 meses a empresa não pagou dividendos
CIEL3;CIELO;R$ 3,60;-2,17%;-20,35%;-34,98%;61,51%;-62,61%;-71,20%;-2,17%;-20,53%;-37,66%;45,45%;-71,45%;-83,80%;5,15;0,84; -1,24 ; -0,42 ; 1,23 ; 1,56 ; 2,47 ; 3,14 ; 41,24% ; -1,57 ; 0,63 ; 8,05% ; 41,47% ; 19,77% ; 45,79% ; 32,47% ; 16,24% ; 13,17% ; 2,22% ; -3,84% ; -7,56% ;R$ 9.780.534.000;R$ 4.872.223.000;R$ 11.697.527.000; 2.716.815.000;R$ 7.398.689.000;R$ -4.908.311.000;R$ 12.307.000.000;Novo Mercado;R$ 176.285.000; Financeiro ; Serviços Financeiros Diversos ;A Cielo, antes conhecida como Visanet Brasil, é uma empresa de nacionalidade brasileira participante do setor de serviços financeiros e tecnologia. Atuando com adquirente multi-bandeira, realizando a captura, transmissão e liquidação financeira de transações com cartões de débito e cartões de crédito, meios de pagamento e intermediação de pagamentos. Lidera seu setor na América Latina no que diz respeito ás dimensões financeiras de suas transações. É responsável pela habilitação do comércio brasileiro a sua rede de pagamentos por meio de cartões de plástico. Presente em mais de 5.500 municípios, alcançando cerca de 99% do território nacional. Com mais de 1,2 milhões de clientes ativos, responsável por 10% do PIB brasileiro.A Cielo SA é uma sociedade anônima de capital aberto, gerida polo Banco do Brasil e Banco Bradesco. A empresa porta um capital social composto puramente de ações ordinárias com permissão a voto. Suas condutas estão listadas no segmento B3.A famosa guerra das maquininhas, envolvendo a indústria de aquisição, trouxe impacto a empresa. Porém, a empresa optou pela expansão no mercado buscando parcerias com segmentos de PMEs e microempreendedores.;A empresa CIELO, está listada na B3 com um valor de mercado de R$ 9,78 Bilhões , tendo um patrimônio de R$ 11,70 Bilhões.  Com um total de 3.278 funcionários, a empresa está listada na Bolsa de Valores no setor de Financeiro e no segmento Serviços Financeiros Diversos.  Nos últimos 12 meses a empresa teve um faturamento de R$ 9,61 Bilhões, que gerou um lucro no valor de R$ 2,27 Bilhões.  Quanto aos seus principais indicadores, a empresa possui um P/L de 5,15, um P/VP de 0,84 e nos últimos 12 meses o dividend yeld da CIELO ficou em 8,05% .
CVCB3;CVC BRASIL;R$ 3,03;27,85%;-3,81%;-53,60%;-84,49%;-93,81%;-;27,85%;-4,03%;-55,51%;-86,03%;-95,27%;-;-2,88;2,54; 0,12 ; 0,03 ; 9,23 ; -21,36 ; 9,12 ; -21,10 ; 12,05% ; -0,27 ; 1,49 ; - ; - ; -38,14% ; 100,00% ; -5,21% ; -88,07% ; -5,50% ; -11,32% ; -5,47% ; -% ;R$ 1.345.059.000;R$ 1.362.105.000;R$ 529.943.000; 443.913.000;R$ 790.920.000;R$ 17.046.000;R$ 773.874.000;Novo Mercado;R$ 124.003.000; Consumo Cíclico ; Viagens e Turismo ;A CVC Brasil Operadora e Agência de Viagens S.A., é uma empresa brasileira que trabalha no ramo do turismo, criada como sociedade anônima de capital aberto e está presente na bolsa de valores com o código CVCB3.Sua principal atuação é na venda de pacotes de viagens para públicos diversos. Atuando em diferentes estados, a empresa é a maior no ramo de viagens da América Latina.A empresa partilha de uma referência com marcas diferentes que buscam alcançar públicos distintos, atualmente a empresa atua nos seguintes segmentos: viagens de lazer, viagens corporativas e intercâmbios, segmentos que fazem parte da CVC Corp. A empresa atingiu no final de 2019 o lucro líquido de R$ 264,5 milhões.;A empresa CVC, está listada na B3 com um valor de mercado de R$ 1,35 Bilhão , tendo um patrimônio de R$ 529,94 Milhões.  Com um total de 3.068 funcionários, a empresa está listada na Bolsa de Valores no setor de Consumo Cíclico e no segmento Viagens e Turismo.  Nos últimos 12 meses a empresa teve um faturamento de R$ 1,22 Bilhão, que gerou um prejuízo no valor de R$ -466,73 Milhões.  Quanto aos seus principais indicadores, a empresa possui um P/L de -2,88, um P/VP de 2,54 e nos últimos 12 meses a empresa não pagou dividendos
HAPV3;HAPVIDA;R$ 4,23;-4,73%;-1,63%;-43,37%;-67,17%;-11,94%;-;-4,73%;-1,86%;-45,70%;-70,44%;-32,75%;-;-39,12;0,65; 2,57 ; 0,12 ; 16,59 ; 227,54 ; 14,02 ; 192,28 ; 8,62% ; 35,26 ; 0,23 ; - ; -16,02% ; -3,09% ; 23,96% ; 0,63% ; -1,65% ; -0,69% ; -1,05% ; 41,97% ; -% ;R$ 31.891.929.000;R$ 37.740.295.000;R$ 49.333.005.000; 7.539.463.000;R$ 11.584.081.000;R$ 5.848.366.000;R$ 5.735.715.000;Novo Mercado;R$ 183.724.000; Saúde ; Serviços Médicos, Hospitalares, Análises e Diagnósticos ;O Grupo Hapvida administra o Hapvida Saúde, considerado o maior agente de planos de saúde da região norte e nordeste, além de ser o terceiro maior agente do Brasil no que refere a beneficiários. Seguindo um modelo de negócios verticalizado, focado na tecnologia e na inovação, direcionada para o ramo em que atua.Com rede particular de atendimento, a empresa conta com um catálogo de 19 prontos atendimentos, 29 hospitais, 90 Hapclínicas e 93 Centros de Diagnóstico por Imagem e Coleta Laboratorial (Vida&Imagem) disseminados em 12 estados da região que a empresa dispõe de sua rede. Contando com mais de 4 milhões de clientes, mais de 20 anos no mercado odontológico, cerca de 40 anos no mercado da saúde, e mais de 20 mil colaboradores. Presente na Bolsa de Valores sob o código HAPV3, em 2019 recolheu uma receita líquida de mais de R$ 5,6 bilhões, gerando um lucro líquido de R$ 851,8 milhões.;A empresa HAPVIDA, está listada na B3 com um valor de mercado de R$ 31,89 Bilhões , tendo um patrimônio de R$ 49,33 Bilhões.  Com um total de 19.931 funcionários, a empresa está listada na Bolsa de Valores no setor de Saúde e no segmento Serviços Médicos, Hospitalares, Análises e Diagnósticos.  Nos últimos 12 meses a empresa teve um faturamento de R$ 26,39 Bilhões, que gerou um prejuízo no valor de R$ -785,04 Milhões.  Quanto aos seus principais indicadores, a empresa possui um P/L de -39,12, um P/VP de 0,65 e nos últimos 12 meses a empresa não pagou dividendos
ITSA4;ITAUSA INVESTIMENTOS ITAU S.A.;R$ 9,15;0,38%;-3,94%;17,50%;18,29%;23,71%;141,09%;0,38%;-4,16%;12,66%;6,52%;-5,53%;35,65%;6,69;1,15; 0,30 ; 0,07 ; 5,67 ; 6,03 ; 5,35 ; 5,69 ; 212,51% ; 0,32 ; 0,16 ; 7,55% ; 38,18% ; 169,98% ; 34,55% ; 199,77% ; 17,26% ; 17,02% ; 13,39% ; 7,75% ; 7,74% ;R$ 89.001.273.000;R$ 94.001.273.000;R$ 76.867.000.000; 9.701.409.000;;;R$ 7.606.000.000;Nível 1;R$ 171.466.000; Financeiro ; Bancos ;A Itaúsa – Investimentos Itaú S.A., é uma holding brasileira, que administra vários empreendimentos, fazendo da Itaúsa um dos mais grandiosos grupos privados brasileiros.Vale ressaltar que por ser a controladora do Itaú, consequentemente a empresa também possui grande participação na XP Investimentos.Fundada como sociedade anônima de capital aberto está presente na bolsa com os códigos ITSA3 e ITSA4. Sua principal atuação é a administração das empresas do ramo financeiro, tendo o Banco Itaú Unibanco como a principal delas.Além do controle das empresas supracitadas, a Itaúsa ainda detém participação na NTS, transportadora de gás natural. As operações controladas pela holding e a participação na NTS fazem da Itaúsa um dos maiores grupos privados do Brasil. A empresa fechou o ano de 2019 com um lucro líquido de R$ 10.5 bilhões.;A empresa ITAUSA, está listada na B3 com um valor de mercado de R$ 89,00 Bilhões , tendo um patrimônio de R$ 76,87 Bilhões.  A empresa está listada na Bolsa de Valores no setor de Financeiro e no segmento Bancos.  Nos últimos 12 meses a empresa teve um faturamento de R$ 7,81 Bilhões, que gerou um lucro no valor de R$ 13,70 Bilhões.  Quanto aos seus principais indicadores, a empresa possui um P/L de 6,69, um P/VP de 1,15 e nos últimos 12 meses o dividend yeld da ITAUSA ficou em 7,55% .
MGLU3;Magazine Luiza;R$ 1,91;-25,10%;-36,75%;-63,06%;-86,72%;-58,79%;641,07%;-25,10%;-36,90%;-64,58%;-88,04%;-68,53%;316,96%;-14,39;1,29; 2,74 ; 0,47 ; 10,19 ; 35,92 ; 7,45 ; 26,26 ; 4,60% ; 9,66 ; 0,72 ; - ; -20,96% ; -2,38% ; 27,92% ; 1,31% ; -8,95% ; -2,39% ; -2,52% ; 19,26% ; -% ;R$ 12.890.450.000;R$ 17.635.374.000;R$ 10.011.498.000; 6.748.926.000;R$ 7.231.728.000;R$ 4.744.924.000;R$ 2.486.804.000;Novo Mercado;R$ 827.525.000; Consumo Cíclico ; Eletrodomésticos ;A Magazine Luiza S.A., é uma rede do varejo nacional, organizada como sociedade anônima de capital aberto e ofertada na bolsa com o código MGLU3.Sua principal atuação é o comercio de móveis e eletrônicos, tanto em sua plataforma digital quanto em suas lojas físicas. Em sua plataforma digital a empresa disponibiliza cerca de 40 mil modelos de produtos, exibindo ainda um modelo de plataforma digital com pontos físicos.Além do mercado de varejo, a empresa também trabalha com produtos financeiros, como: o Consórcio Luiza, o Luizacred (cartão de crédito) e o Luizaseg (seguro).Atualmente, a empresa dispõe de aproximadamente 27 mil colaboradores, 1000 lojas distribuídos em 17 estados diferentes, 12 centros de distribuição e um e-commerce com marketplace, permitindo que a empresa finalize o ano de 2019 com um lucro líquido de R$ 921.8 milhões;A empresa Magazine Luiza, está listada na B3 com um valor de mercado de R$ 12,89 Bilhões , tendo um patrimônio de R$ 10,01 Bilhões.  Com um total de 28.200 funcionários, a empresa está listada na Bolsa de Valores no setor de Consumo Cíclico e no segmento Eletrodomésticos.  Nos últimos 12 meses a empresa teve um faturamento de R$ 37,61 Bilhões, que gerou um prejuízo no valor de R$ -895,64 Milhões.  Quanto aos seus principais indicadores, a empresa possui um P/L de -14,39, um P/VP de 1,29 e nos últimos 12 meses a empresa não pagou dividendos
PETR4;PETROLEO BRASILEIRO S.A. PETROBRAS;R$ 35,12;5,24%;18,53%;44,70%;174,22%;250,28%;430,75%;5,24%;18,26%;38,74%;146,94%;167,49%;198,62%;2,93;1,24; 0,73 ; 0,59 ; 2,33 ; 2,98 ; 1,52 ; 1,95 ; 51,66% ; 0,93 ; 0,75 ; 26,02% ; 63,64% ; 26,89% ; 50,63% ; 40,34% ; 42,19% ; 25,68% ; 15,85% ; 10,70% ; 42,52% ;R$ 480.450.094.000;R$ 698.840.094.000;R$ 370.683.000.000; 13.044.496.000;R$ 279.375.000.000;R$ 218.390.000.000;R$ 60.985.000.000;Nível 2;R$ 4.528.136.000; Petróleo, Gás e Biocombustíveis ; Exploração . Refino e Distribuição ;Petróleo Brasileiro S.A. ou Petrobras é uma empresa de capital aberto que atua no setor de petróleo, gás e biocombustíveis. Seu maior acionista é Estado Brasileiro, assim considerada uma empresa de economia mista. Como sociedade anônima de capital aberto, tem ações negociadas na bolsa de valores brasileira (B3), utilizando os códigos PETR3 E PETR4.Em seu setor atua na exploração, refino e distribuição, operando em 25 países, sendo a 28ª maior empresa do mundo em relação a sua receita. É reconhecida por sua exploração em águas ultra profundas em campos marítimos, onde os campos do pré sal se destacam. Outros pontos de atuação secundários incluem, mas não se limitam a, biocombustíveis, refino e transporte de petróleo, gás natural, fertilizantes e energia elétrica.;A empresa Petrobrás, está listada na B3 com um valor de mercado de R$ 480,45 Bilhões , tendo um patrimônio de R$ 370,68 Bilhões.  Com um total de 61.550 funcionários, a empresa está listada na Bolsa de Valores no setor de Petróleo, Gás e Biocombustíveis e no segmento Exploração . Refino e Distribuição.  Nos últimos 12 meses a empresa teve um faturamento de R$ 581,56 Bilhões, que gerou um lucro no valor de R$ 156,98 Bilhões.  Quanto aos seus principais indicadores, a empresa possui um P/L de 2,93, um P/VP de 1,24 e nos últimos 12 meses o dividend yeld da Petrobrás ficou em 26,02% .
